date,t,perc_variant,beta_multipler
2021-01-23,1,0.010183796825656304,1.005091898412828
2021-01-24,2,0.010941232454838114,1.005470616227419
2021-01-25,3,0.011754334531027607,1.0058771672655138
2021-01-26,4,0.012627091168721138,1.0063135455843606
2021-01-27,5,0.013563760373214084,1.006781880186607
2021-01-28,6,0.014568885861359933,1.00728444293068
2021-01-29,7,0.015647313422745203,1.0078236567113725
2021-01-30,8,0.01680420777195065,1.0084021038859754
2021-01-31,9,0.01804506982739981,1.0090225349136999
2021-02-01,10,0.019375754334766022,1.009687877167383
2021-02-02,11,0.020802487732773486,1.0104012438663867
2021-02-03,12,0.022331886136230914,1.0111659430681155
2021-02-04,13,0.023970973285026696,1.0119854866425133
2021-02-05,14,0.0257271982783453,1.0128635991391726
2021-02-06,15,0.02760845288030751,1.0138042264401537
2021-02-07,16,0.029623088146393063,1.0148115440731966
2021-02-08,17,0.031779930079220815,1.0158899650396103
2021-02-09,18,0.034088293977448454,1.0170441469887241
2021-02-10,19,0.036557997092712485,1.0182789985463563
2021-02-11,20,0.039199369156773044,1.0195996845783866
2021-02-12,21,0.04202326028462119,1.0210116301423104
2021-02-13,22,0.045041045699697725,1.0225205228498488
2021-02-14,23,0.048264626665237446,1.0241323133326188
2021-02-15,24,0.05170642694204254,1.0258532134710212
2021-02-16,25,0.05537938402897917,1.0276896920144896
2021-02-17,26,0.05929693437983343,1.0296484671899166
2021-02-18,27,0.06347299173094004,1.03173649586547
2021-02-19,28,0.06792191762077379,1.0339609588103869
2021-02-20,29,0.07265848313855361,1.0363292415692769
2021-02-21,30,0.07769782090750044,1.0388489104537502
2021-02-22,31,0.08305536629392092,1.0415276831469604
2021-02-23,32,0.08874678684053341,1.0443733934202668
2021-02-24,33,0.09478789895669347,1.0473939494783466
2021-02-25,34,0.10119457096511222,1.050597285482556
2021-02-26,35,0.10798261171027276,1.0539913058551362
2021-02-27,36,0.11516764408407268,1.0575838220420364
2021-02-28,37,0.12276496302506959,1.0613824815125348
2021-03-01,38,0.13078937780430708,1.0653946889021535
2021-03-02,39,0.1392550387272263,1.0696275193636131
2021-03-03,40,0.14817524876023758,1.0740876243801187
2021-03-04,41,0.15756226103256965,1.0787811305162849
2021-03-05,42,0.16742706366665366,1.0837135318333266
2021-03-06,43,0.17777915394769053,1.0888895769738454
2021-03-07,44,0.18862630444525955,1.0943131522226297
2021-03-08,45,0.1999743243323318,1.0999871621661659
2021-03-09,46,0.21182681979039167,1.105913409895196
2021-03-10,47,0.22418495801907332,1.1120924790095366
2021-03-11,48,0.23704723995557272,1.1185236199777864
2021-03-12,49,0.2504092873198316,1.1252046436599157
2021-03-13,50,0.2642636499999439,1.132131824999972
2021-03-14,51,0.2785996400410691,1.1392998200205344
2021-03-15,52,0.2934031985639537,1.146701599281977
2021-03-16,53,0.3086568017831752,1.1543284008915875
2021-03-17,54,0.3243394118940882,1.1621697059470442
2021-03-18,55,0.3404264779342609,1.1702132389671305
2021-03-19,56,0.3568899907952732,1.1784449953976366
2021-03-20,57,0.37369859537395855,1.186849297686979
2021-03-21,58,0.3908177614344579,1.195408880717229
2021-03-22,59,0.40821001314627126,1.2041050065731356
2021-03-23,60,0.425835215527015,1.2129176077635075
2021-03-24,61,0.4436509142233841,1.221825457111692
2021-03-25,62,0.4616127232913314,1.2308063616456657
2021-03-26,63,0.4796747539730615,1.2398373769865307
2021-03-27,64,0.49779007599980674,1.2488950379999033
2021-03-28,65,0.5159112017544449,1.2579556008772226
2021-03-29,66,0.5339905827730509,1.2669952913865254
2021-03-30,67,0.5519811075979576,1.2759905537989789
2021-03-31,68,0.5698365899435873,1.2849182949717937
2021-04-01,69,0.5875122365031732,1.2937561182515864
2021-04-02,70,0.6049650844884348,1.3024825422442174
2021-04-03,71,0.6221544001117917,1.311077200055896
2021-04-04,72,0.6390420306294788,1.3195210153147394
2021-04-05,73,0.6555927041875873,1.3277963520937937
2021-04-06,74,0.6717742734669822,1.3358871367334912
2021-04-07,75,0.6875579009205063,1.343778950460253
2021-04-08,76,0.7029181851537194,1.3514590925768597
2021-04-09,77,0.7178332296443019,1.3589166148221508
2021-04-10,78,0.7322846564634548,1.3661423282317275
2021-04-11,79,0.7462575689087605,1.3731287844543802
2021-04-12,80,0.7597404679520098,1.3798702339760047
2021-04-13,81,0.7727251281338341,1.386362564066917
2021-04-14,82,0.7852064390008694,1.3926032195004345
2021-04-15,83,0.797182218394829,1.3985911091974146
2021-04-16,84,0.8086530038905698,1.404326501945285
2021-04-17,85,0.8196218284734962,1.409810914236748
2021-04-18,86,0.8300939861812267,1.4150469930906133
2021-04-19,87,0.8400767929476843,1.4200383964738421
2021-04-20,88,0.8495793473162679,1.4247896736581338
2021-04-21,89,0.8586122950666589,1.4293061475333295
2021-04-22,90,0.8671876011573375,1.4335938005786688
2021-04-23,91,0.8753183317487683,1.4376591658743842
2021-04-24,92,0.8830184484610827,1.4415092242305412
2021-04-25,93,0.8903026164506868,1.4451513082253435
2021-04-26,94,0.8971860273735464,1.448593013686773
2021-04-27,95,0.9036842378457453,1.4518421189228727
2021-04-28,96,0.9098130236174239,1.4549065118087121
2021-04-29,97,0.9155882493446058,1.457794124672303
2021-04-30,98,0.9210257535725349,1.4605128767862676
2021-05-01,99,0.9261412483301523,1.4630706241650762
2021-05-02,100,0.9309502325732248,1.4654751162866124
2021-05-03,101,0.9354679185976729,1.4677339592988365
2021-05-04,102,0.9397091704688345,1.4698545852344174
2021-05-05,103,0.9436884534707328,1.4718442267353664
2021-05-06,104,0.9474197935660885,1.4737098967830442
2021-05-07,105,0.9509167458674576,1.475458372933729
2021-05-08,106,0.9541923711475567,1.4770961855737785
2021-05-09,107,0.9572592194582408,1.4786296097291205
2021-05-10,108,0.9601293199789026,1.4800646599894511
2021-05-11,109,0.9628141762730854,1.4814070881365429
2021-05-12,110,0.9653247661941291,1.4826623830970644
2021-05-13,111,0.9676715457445146,1.4838357728722573
2021-05-14,112,0.9698644562574882,1.484932228128744
2021-05-15,113,0.971912934332168,1.485956467166084
2021-05-16,114,0.9738259240136278,1.4869129620068138
2021-05-17,115,0.9756118907666887,1.4878059453833443
2021-05-18,116,0.977278836845835,1.4886394184229177
2021-05-19,117,0.9788343177134715,1.4894171588567358
2021-05-20,118,0.9802854592045444,1.490142729602272
2021-05-21,119,0.9816389751773096,1.4908194875886547
2021-05-22,120,0.9829011854278213,1.4914505927139106
2021-05-23,121,0.9840780336796808,1.4920390168398405
2021-05-24,122,0.9851751054909037,1.4925875527454517
2021-05-25,123,0.9861976459466796,1.49309882297334
2021-05-26,124,0.9871505770305219,1.493575288515261
2021-05-27,125,0.9880385145871213,1.4940192572935607
2021-05-28,126,0.9888657848083543,1.494432892404177
2021-05-29,127,0.9896364401896244,1.4948182200948121
2021-05-30,128,0.9903542749172556,1.4951771374586278
2021-05-31,129,0.9910228396592506,1.4955114198296253
2021-06-01,130,0.9916454557415798,1.4958227278707898
2021-06-02,131,0.9922252287004877,1.4961126143502437
2021-06-03,132,0.992765061208259,1.4963825306041294
2021-06-04,133,0.9932676653756634,1.4966338326878317
2021-06-05,134,0.9937355744390209,1.4968677872195104
2021-06-06,135,0.9941711538436758,1.497085576921838
2021-06-07,136,0.9945766117386973,1.4972883058693487
2021-06-08,137,0.9949540089000246,1.4974770044500123
2021-06-09,138,0.9953052681010632,1.4976526340505316
2021-06-10,139,0.9956321829510624,1.4978160914755312
2021-06-11,140,0.9959364262225043,1.4979682131112522
2021-06-12,141,0.9962195576892863,1.4981097788446431
2021-06-13,142,0.996483031497741,1.4982415157488704
2021-06-14,143,0.9967282030925634,1.4983641015462816
2021-06-15,144,0.9969563357195337,1.4984781678597667
2021-06-16,145,0.9971686065265919,1.498584303263296
2021-06-17,146,0.9973661122843572,1.4986830561421787
2021-06-18,147,0.9975498747466166,1.4987749373733084
2021-06-19,148,0.9977208456706725,1.4988604228353364
2021-06-20,149,0.9978799115167363,1.4989399557583682
2021-06-21,150,0.9980278978448152,1.4990139489224077
2021-06-22,151,0.9981655734267807,1.4990827867133902
2021-06-23,152,0.9982936540905194,1.4991468270452597
2021-06-24,153,0.9984128063122891,1.4992064031561445
2021-06-25,154,0.9985236505726176,1.4992618252863088
2021-06-26,155,0.99862676449031,1.499313382245155
2021-06-27,156,0.9987226857483736,1.4993613428741868
2021-06-28,157,0.9988119148249339,1.499405957412467
2021-06-29,158,0.9988949175414857,1.4994474587707427
2021-06-30,159,0.9989721274401501,1.499486063720075
2021-07-01,160,0.9990439480009217,1.4995219740004608
2021-07-02,161,0.9991107547092639,1.499555377354632
2021-07-03,162,0.9991728969837913,1.4995864484918955
2021-07-04,163,0.9992306999731938,1.499615349986597
2021-07-05,164,0.9992844662310063,1.4996422331155033
2021-07-06,165,0.9993344772762914,1.4996672386381458
2021-07-07,166,0.999380995047808,1.499690497523904
2021-07-08,167,0.9994242632587587,1.4997121316293793
2021-07-09,168,0.9994645086587647,1.4997322543293823
2021-07-10,169,0.9995019422092907,1.4997509711046453
2021-07-11,170,0.9995367601783404,1.4997683800891703
2021-07-12,171,0.9995691451598742,1.4997845725799372
2021-07-13,172,0.9995992670230366,1.4997996335115182
2021-07-14,173,0.9996272837959583,1.499813641897979
2021-07-15,174,0.9996533424885725,1.4998266712442863
2021-07-16,175,0.9996775798586078,1.4998387899293038
2021-07-17,176,0.9997001231246269,1.4998500615623134
2021-07-18,177,0.9997210906297349,1.4998605453148675
2021-07-19,178,0.999740592459336,1.499870296229668
2021-07-20,179,0.9997587310160861,1.499879365508043
2021-07-21,180,0.9997756015549818,1.4998878007774907
2021-07-22,181,0.9997912926813297,1.4998956463406647
2021-07-23,182,0.999805886814147,1.4999029434070734
2021-07-24,183,0.9998194606173793,1.4999097303086897
2021-07-25,184,0.9998320854011548,1.4999160427005775
2021-07-26,185,0.9998438274951427,1.4999219137475712
2021-07-27,186,0.999854748595947,1.4999273742979735
2021-07-28,187,0.9998649060903299,1.4999324530451648
2021-07-29,188,0.9998743533559383,1.4999371766779692
2021-07-30,189,0.9998831400410925,1.499941570020546
2021-07-31,190,0.9998913123250884,1.4999456561625442
2021-08-01,191,0.9998989131603665,1.4999494565801834
2021-08-02,192,0.9999059824978022,1.4999529912489011
2021-08-03,193,0.999912557496296,1.4999562787481482
2021-08-04,194,0.999918672717748,1.499959336358874
2021-08-05,195,0.9999243603084373,1.4999621801542187
2021-08-06,196,0.9999296501677502,1.499964825083875
2021-08-07,197,0.999934570105135,1.4999672850525674
2021-08-08,198,0.9999391459861097,1.499969572993055
2021-08-09,199,0.9999434018680753,1.4999717009340376
2021-08-10,200,0.9999473601266525,1.4999736800633263
2021-08-11,201,0.9999510415731986,1.4999755207865992
2021-08-12,202,0.9999544655641196,1.4999772327820597
2021-08-13,203,0.9999576501025484,1.4999788250512742
2021-08-14,204,0.9999606119329247,1.4999803059664625
2021-08-15,205,0.999963366628967,1.4999816833144837
2021-08-16,206,0.9999659286755016,1.499982964337751
2021-08-17,207,0.9999683115445748,1.4999841557722873
2021-08-18,208,0.9999705277662471,1.4999852638831235
2021-08-19,209,0.9999725889944431,1.4999862944972215
2021-08-20,210,0.9999745060681987,1.4999872530340994
2021-08-21,211,0.9999762890686301,1.499988144534315
2021-08-22,212,0.9999779473719198,1.49998897368596
2021-08-23,213,0.9999794896986012,1.4999897448493005
2021-08-24,214,0.999980924159399,1.4999904620796993
2021-08-25,215,0.9999822582978646,1.4999911291489323
2021-08-26,216,0.9999834991300317,1.499991749565016
2021-08-27,217,0.9999846531813013,1.4999923265906505
2021-08-28,218,0.999985726520746,1.4999928632603732
2021-08-29,219,0.9999867247930194,1.4999933623965098
2021-08-30,220,0.999987653248032,1.4999938266240158
2021-08-31,221,0.9999885167685529,1.4999942583842765
2021-09-01,222,0.9999893198958851,1.4999946599479426
2021-09-02,223,0.9999900668537403,1.4999950334268701
2021-09-03,224,0.999990761570449,1.4999953807852244
2021-09-04,225,0.9999914076996157,1.4999957038498077
2021-09-05,226,0.9999920086393314,1.4999960043196658
2021-09-06,227,0.9999925675500391,1.4999962837750194
2021-09-07,228,0.9999930873711561,1.4999965436855782
2021-09-08,229,0.9999935708365278,1.499996785418264
2021-09-09,230,0.9999940204888058,1.499997010244403
2021-09-10,231,0.9999944386928171,1.4999972193464086
2021-09-11,232,0.9999948276480012,1.4999974138240004
2021-09-12,233,0.9999951893999752,1.4999975946999877
2021-09-13,234,0.9999955258512919,1.4999977629256458
2021-09-14,235,0.9999958387714449,1.4999979193857225
2021-09-15,236,0.9999961298061733,1.4999980649030866
2021-09-16,237,0.9999964004861179,1.499998200243059
2021-09-17,238,0.9999966522348692,1.4999983261174346
2021-09-18,239,0.999996886376455,1.4999984431882274
2021-09-19,240,0.9999971041423034,1.4999985520711516
2021-09-20,241,0.9999973066777179,1.499998653338859
2021-09-21,242,0.999997495047902,1.4999987475239511
2021-09-22,243,0.9999976702435606,1.4999988351217803
2021-09-23,244,0.9999978331861095,1.4999989165930547
2021-09-24,245,0.9999979847325228,1.4999989923662613
2021-09-25,246,0.9999981256798381,1.499999062839919
2021-09-26,247,0.99999825676935,1.499999128384675
2021-09-27,248,0.999998378690507,1.4999991893452536
2021-09-28,249,0.9999984920845387,1.4999992460422695
2021-09-29,250,0.9999985975478276,1.4999992987739137
2021-09-30,251,0.9999986956350463,1.499999347817523
2021-10-01,252,0.999998786862073,1.4999993934310365
2021-10-02,253,0.9999988717087068,1.4999994358543534
2021-10-03,254,0.9999989506211896,1.4999994753105947
2021-10-04,255,0.9999990240145533,1.4999995120072767
2021-10-05,256,0.9999990922748032,1.4999995461374016
2021-10-06,257,0.9999991557609473,1.4999995778804738
2021-10-07,258,0.9999992148068847,1.4999996074034425
2021-10-08,259,0.9999992697231626,1.4999996348615812
2021-10-09,260,0.9999993207986072,1.4999996603993035
2021-10-10,261,0.9999993683018458,1.4999996841509229
2021-10-11,262,0.9999994124827175,1.4999997062413586
2021-10-12,263,0.9999994535735873,1.4999997267867937
2021-10-13,264,0.9999994917905695,1.4999997458952847
2021-10-14,265,0.9999995273346627,1.4999997636673312
2021-10-15,266,0.9999995603928086,1.4999997801964042
2021-10-16,267,0.9999995911388733,1.4999997955694366
2021-10-17,268,0.9999996197345633,1.4999998098672818
2021-10-18,269,0.9999996463302757,1.4999998231651377
2021-10-19,270,0.9999996710658882,1.499999835532944
2021-10-20,271,0.9999996940714956,1.4999998470357476
2021-10-21,272,0.9999997154680945,1.4999998577340472
2021-10-22,273,0.9999997353682185,1.4999998676841093
2021-10-23,274,0.9999997538765311,1.4999998769382656
2021-10-24,275,0.9999997710903745,1.4999998855451873
2021-10-25,276,0.9999997871002846,1.4999998935501424
2021-10-26,277,0.9999998019904636,1.4999999009952316
2021-10-27,278,0.9999998158392257,1.4999999079196127
2021-10-28,279,0.9999998287194072,1.4999999143597036
2021-10-29,280,0.9999998406987506,1.4999999203493752
2021-10-30,281,0.9999998518402604,1.4999999259201302
2021-10-31,282,0.9999998622025342,1.499999931101267
2021-11-01,283,0.9999998718400722,1.4999999359200362
2021-11-02,284,0.9999998808035622,1.499999940401781
2021-11-03,285,0.9999998891401466,1.4999999445700731
2021-11-04,286,0.9999998968936714,1.4999999484468358
2021-11-05,287,0.9999999041049156,1.4999999520524576
2021-11-06,288,0.9999999108118065,1.4999999554059034
2021-11-07,289,0.9999999170496181,1.499999958524809
2021-11-08,290,0.999999922851158,1.499999961425579
2021-11-09,291,0.9999999282469387,1.4999999641234694
2021-11-10,292,0.9999999332653395,1.4999999666326698
2021-11-11,293,0.9999999379327539,1.4999999689663768
2021-11-12,294,0.9999999422737298,1.4999999711368648
2021-11-13,295,0.9999999463110985,1.4999999731555491
2021-11-14,296,0.9999999500660939,1.4999999750330468
2021-11-15,297,0.9999999535584655,1.499999976779233
2021-11-16,298,0.999999956806581,1.4999999784032907
2021-11-17,299,0.9999999598275239,1.499999979913762
2021-11-18,300,0.9999999626371822,1.4999999813185911
2021-11-19,301,0.9999999652503332,1.4999999826251664
2021-11-20,302,0.9999999676807209,1.4999999838403606
2021-11-21,303,0.9999999699411275,1.4999999849705639
2021-11-22,304,0.9999999720434417,1.499999986021721
2021-11-23,305,0.9999999739987202,1.49999998699936
2021-11-24,306,0.9999999758172468,1.4999999879086232
2021-11-25,307,0.9999999775085858,1.499999988754293
2021-11-26,308,0.9999999790816327,1.4999999895408165
2021-11-27,309,0.9999999805446608,1.4999999902723302
2021-11-28,310,0.999999981905365,1.4999999909526824
2021-11-29,311,0.9999999831709018,1.499999991585451
2021-11-30,312,0.999999984347927,1.4999999921739635
2021-12-01,313,0.9999999854426311,1.4999999927213155
2021-12-02,314,0.9999999864607718,1.499999993230386
2021-12-03,315,0.9999999874077038,1.499999993703852
2021-12-04,316,0.9999999882884077,1.4999999941442037
2021-12-05,317,0.9999999891075152,1.4999999945537574
2021-12-06,318,0.9999999898693342,1.499999994934667
2021-12-07,319,0.9999999905778719,1.499999995288936
2021-12-08,320,0.9999999912368546,1.4999999956184271
2021-12-09,321,0.9999999918497479,1.499999995924874
2021-12-10,322,0.9999999924197757,1.4999999962098878
2021-12-11,323,0.9999999929499355,1.4999999964749677
2021-12-12,324,0.9999999934430164,1.499999996721508
2021-12-13,325,0.9999999939016109,1.4999999969508055
2021-12-14,326,0.9999999943281317,1.4999999971640658
2021-12-15,327,0.9999999947248215,1.4999999973624107
2021-12-16,328,0.9999999950937668,1.4999999975468834
2021-12-17,329,0.9999999954369083,1.4999999977184542
2021-12-18,330,0.9999999957560504,1.4999999978780252
2021-12-19,331,0.9999999960528718,1.4999999980264358
2021-12-20,332,0.9999999963289334,1.4999999981644667
2021-12-21,333,0.9999999965856874,1.4999999982928436
2021-12-22,334,0.9999999968244841,1.499999998412242
2021-12-23,335,0.9999999970465792,1.4999999985232895
2021-12-24,336,0.9999999972531413,1.4999999986265706
2021-12-25,337,0.9999999974452563,1.4999999987226282
2021-12-26,338,0.9999999976239347,1.4999999988119674
2021-12-27,339,0.9999999977901164,1.4999999988950583
2021-12-28,340,0.9999999979446754,1.4999999989723378
2021-12-29,341,0.9999999980884247,1.4999999990442123
2021-12-30,342,0.9999999982221199,1.49999999911106
2021-12-31,343,0.9999999983464647,1.4999999991732322
2022-01-01,344,0.9999999984621128,1.4999999992310564
2022-01-02,345,0.9999999985696724,1.4999999992848363
2022-01-03,346,0.9999999986697095,1.4999999993348547
2022-01-04,347,0.9999999987627497,1.4999999993813748
2022-01-05,348,0.9999999988492829,1.4999999994246414
2022-01-06,349,0.9999999989297639,1.499999999464882
2022-01-07,350,0.999999999004616,1.4999999995023081
2022-01-08,351,0.9999999990742332,1.4999999995371167
2022-01-09,352,0.9999999991389812,1.4999999995694906
2022-01-10,353,0.9999999991992008,1.4999999995996005
2022-01-11,354,0.9999999992552084,1.4999999996276043
2022-01-12,355,0.9999999993072992,1.4999999996536497
2022-01-13,356,0.9999999993557467,1.4999999996778735
2022-01-14,357,0.9999999994008055,1.4999999997004028
2022-01-15,358,0.9999999994427131,1.4999999997213564
2022-01-16,359,0.9999999994816897,1.4999999997408449
2022-01-17,360,0.9999999995179403,1.4999999997589701
2022-01-18,361,0.9999999995516555,1.4999999997758278
2022-01-19,362,0.9999999995830127,1.4999999997915063
2022-01-20,363,0.9999999996121767,1.4999999998060882
2022-01-21,364,0.999999999639301,1.4999999998196505
2022-01-22,365,0.9999999996645283,1.4999999998322642
